pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1,4000,bbq_ckn_s,1,01-01-2024,12:54:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
2,4000,pepperoni_l,1,01-01-2024,12:54:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
3,4000,margherita_s,3,01-01-2024,12:54:00,9,27,S,Classic,Tomato|Cheese,Margherita Pizza
4,4000,veggie_s,1,01-01-2024,12:54:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
5,4000,hawaiian_s,1,01-01-2024,12:54:00,9,9,S,Classic,Ham|Pineapple,Hawaiian Pizza
6,4000,margherita_l,1,01-01-2024,12:54:00,15,15,L,Classic,Tomato|Cheese,Margherita Pizza
7,4001,margherita_m,1,23-01-2024,14:23:00,12,12,M,Classic,Tomato|Cheese,Margherita Pizza
8,4001,veggie_l,2,23-01-2024,14:23:00,15,30,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
9,4001,hawaiian_s,3,23-01-2024,14:23:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
10,4001,veggie_m,2,23-01-2024,14:23:00,12,24,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
11,4001,pepperoni_s,2,23-01-2024,14:23:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
12,4002,hawaiian_m,2,13-01-2024,12:34:00,12,24,M,Classic,Ham|Pineapple,Hawaiian Pizza
13,4003,hawaiian_l,2,26-01-2024,15:30:00,15,30,L,Classic,Ham|Pineapple,Hawaiian Pizza
14,4003,margherita_s,2,26-01-2024,15:30:00,9,18,S,Classic,Tomato|Cheese,Margherita Pizza
15,4003,hawaiian_l,2,26-01-2024,15:30:00,15,30,L,Classic,Ham|Pineapple,Hawaiian Pizza
16,4003,margherita_m,3,26-01-2024,15:30:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
17,4003,pepperoni_l,1,26-01-2024,15:30:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
18,4004,bbq_ckn_s,1,25-01-2024,14:53:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
19,4005,veggie_l,2,09-01-2024,17:29:00,15,30,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
20,4006,pepperoni_l,2,12-01-2024,17:19:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
21,4006,hawaiian_l,3,12-01-2024,17:19:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
22,4007,pepperoni_s,2,24-01-2024,20:06:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
23,4007,veggie_m,3,24-01-2024,20:06:00,12,36,M,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
24,4008,bbq_ckn_s,1,08-01-2024,20:30:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
25,4008,hawaiian_m,2,08-01-2024,20:30:00,12,24,M,Classic,Ham|Pineapple,Hawaiian Pizza
26,4008,bbq_ckn_s,1,08-01-2024,20:30:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
27,4008,margherita_l,2,08-01-2024,20:30:00,15,30,L,Classic,Tomato|Cheese,Margherita Pizza
28,4008,pepperoni_l,2,08-01-2024,20:30:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
29,4008,veggie_l,2,08-01-2024,20:30:00,15,30,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
30,4009,pepperoni_l,3,05-01-2024,15:31:00,15,45,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
31,4009,margherita_m,3,05-01-2024,15:31:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
32,4010,margherita_m,2,29-01-2024,18:18:00,12,24,M,Classic,Tomato|Cheese,Margherita Pizza
33,4010,pepperoni_s,3,29-01-2024,18:18:00,9,27,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
34,4010,veggie_s,1,29-01-2024,18:18:00,9,9,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
35,4010,hawaiian_s,3,29-01-2024,18:18:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
36,4010,pepperoni_l,2,29-01-2024,18:18:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
37,4011,veggie_l,2,13-01-2024,12:05:00,15,30,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
38,4011,margherita_m,3,13-01-2024,12:05:00,12,36,M,Classic,Tomato|Cheese,Margherita Pizza
39,4011,hawaiian_l,3,13-01-2024,12:05:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
40,4011,hawaiian_l,3,13-01-2024,12:05:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
41,4011,bbq_ckn_l,2,13-01-2024,12:05:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
42,4012,pepperoni_m,1,14-01-2024,16:00:00,12,12,M,Classic,Pepperoni|Cheese,Pepperoni Pizza
43,4013,pepperoni_l,1,17-01-2024,15:29:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
44,4013,bbq_ckn_l,3,17-01-2024,15:29:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
45,4013,margherita_s,1,17-01-2024,15:29:00,9,9,S,Classic,Tomato|Cheese,Margherita Pizza
46,4013,bbq_ckn_s,3,17-01-2024,15:29:00,11,33,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
47,4013,margherita_s,3,17-01-2024,15:29:00,9,27,S,Classic,Tomato|Cheese,Margherita Pizza
48,4013,bbq_ckn_m,1,17-01-2024,15:29:00,14,14,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
49,4014,bbq_ckn_s,1,29-01-2024,17:11:00,11,11,S,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
50,4015,hawaiian_s,3,31-01-2024,20:40:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
51,4015,veggie_s,3,31-01-2024,20:40:00,9,27,S,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
52,4016,veggie_l,1,22-01-2024,13:11:00,15,15,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
53,4016,bbq_ckn_l,3,22-01-2024,13:11:00,17,51,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
54,4017,margherita_l,3,30-01-2024,14:36:00,15,45,L,Classic,Tomato|Cheese,Margherita Pizza
55,4017,pepperoni_l,2,30-01-2024,14:36:00,15,30,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
56,4017,veggie_l,3,30-01-2024,14:36:00,15,45,L,Veggie,Onion|Capsicum|Mushroom,Veggie Pizza
57,4017,bbq_ckn_m,3,30-01-2024,14:36:00,14,42,M,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
58,4018,pepperoni_s,2,08-01-2024,13:03:00,9,18,S,Classic,Pepperoni|Cheese,Pepperoni Pizza
59,4018,hawaiian_l,3,08-01-2024,13:03:00,15,45,L,Classic,Ham|Pineapple,Hawaiian Pizza
60,4018,pepperoni_l,1,08-01-2024,13:03:00,15,15,L,Classic,Pepperoni|Cheese,Pepperoni Pizza
61,4018,hawaiian_s,3,08-01-2024,13:03:00,9,27,S,Classic,Ham|Pineapple,Hawaiian Pizza
62,4019,hawaiian_s,2,08-01-2024,12:00:00,9,18,S,Classic,Ham|Pineapple,Hawaiian Pizza
63,4019,hawaiian_l,1,08-01-2024,12:00:00,15,15,L,Classic,Ham|Pineapple,Hawaiian Pizza
64,4019,bbq_ckn_l,2,08-01-2024,12:00:00,17,34,L,Chicken,Chicken|BBQ Sauce,BBQ Chicken Pizza
